ATM Name,Transaction Date,No Of Withdrawals,No Of XYZ Card Withdrawals,Total amount Withdrawn,Amount withdrawn XYZ Card,Weekday,Festival Religion,Working Day,Holiday Sequence,Year,Month
Airport ATM,2013-11-11,118.0,78.0,612800.0,466000.0,Monday,NH,W,HWW,2013,November
Big Street ATM,2013-11-11,101.0,31.0,273800.0,113000.0,Monday,NH,W,HWW,2013,November
Big Street ATM,2013-11-11,146.0,52.0,595658.0,262765.0,Monday,NA,NA,NA,2013,November
Big Street ATM,2013-11-11,199.0,143.0,821663.0,612605.0,Monday,NA,NA,NA,2013,November
Mount Road ATM,2013-11-11,185.0,88.0,811200.0,587000.0,Monday,NH,W,HWW,2013,November
Airport ATM,2013-11-12,126.0,96.0,593000.0,490700.0,Tuesday,NH,W,WWW,2013,November
Big Street ATM,2013-11-12,107.0,43.0,413200.0,232900.0,Tuesday,NH,W,WWW,2013,November
Big Street ATM,2013-11-12,199.0,143.0,821663.0,612605.0,Tuesday,NA,NA,NA,2013,November
Christ College ATM,2013-11-12,157.0,61.0,726500.0,330100.0,Tuesday,NH,W,WWW,2013,November
Mount Road ATM,2013-11-12,152.0,92.0,546500.0,413200.0,Tuesday,NH,W,WWW,2013,November
Airport ATM,2013-11-13,125.0,90.0,512600.0,422600.0,Wednesday,NH,W,WWW,2013,November
Big Street ATM,2013-11-13,107.0,34.0,487300.0,284400.0,Wednesday,NH,W,WWW,2013,November
Christ College ATM,2013-11-13,142.0,49.0,548600.0,260100.0,Wednesday,NH,W,WWW,2013,November
KK Nagar ATM,2013-11-13,236.0,182.0,1060400.0,843000.0,Wednesday,NH,W,WWW,2013,November
Mount Road ATM,2013-11-13,79.0,35.0,285600.0,148000.0,Wednesday,NH,W,WWW,2013,November
Airport ATM,2013-11-14,116.0,87.0,553100.0,505600.0,Thursday,NH,W,WWW,2013,November
Big Street ATM,2013-11-14,115.0,28.0,353300.0,108800.0,Thursday,NH,W,WWW,2013,November
Christ College ATM,2013-11-14,160.0,46.0,610100.0,210100.0,Thursday,NH,W,WWW,2013,November
KK Nagar ATM,2013-11-14,233.0,142.0,1051100.0,689600.0,Thursday,NH,W,WWW,2013,November
Mount Road ATM,2013-11-14,185.0,87.0,806900.0,514500.0,Thursday,NH,W,WWW,2013,November
Airport ATM,2013-11-15,40.0,28.0,209200.0,152400.0,Friday,NH,W,WWH,2013,November
Big Street ATM,2013-11-15,127.0,39.0,491200.0,293200.0,Friday,NH,W,WWH,2013,November
Christ College ATM,2013-11-15,163.0,46.0,756800.0,294100.0,Friday,NH,W,WWH,2013,November
KK Nagar ATM,2013-11-15,193.0,116.0,699200.0,340500.0,Friday,NH,W,WWH,2013,November
Mount Road ATM,2013-11-15,120.0,50.0,325200.0,168800.0,Friday,NH,W,WWH,2013,November
Airport ATM,2013-11-16,48.0,28.0,214000.0,164900.0,Saturday,NH,H,WHH,2013,November
Big Street ATM,2013-11-16,133.0,43.0,468600.0,233400.0,Saturday,NH,H,WHH,2013,November
Christ College ATM,2013-11-16,118.0,41.0,572800.0,265700.0,Saturday,NH,H,WHH,2013,November
KK Nagar ATM,2013-11-16,140.0,88.0,585300.0,367500.0,Saturday,NH,H,WHH,2013,November
Mount Road ATM,2013-11-16,145.0,60.0,499400.0,279000.0,Saturday,NH,H,WHH,2013,November
Airport ATM,2013-11-17,78.0,50.0,263200.0,177700.0,Sunday,NH,H,HHW,2013,November
Big Street ATM,2013-11-17,116.0,33.0,394700.0,176900.0,Sunday,NH,H,HHW,2013,November
Big Street ATM,2013-11-17,146.0,52.0,595658.0,262765.0,Sunday,NA,NA,NA,2013,November
KK Nagar ATM,2013-11-17,122.0,80.0,496800.0,339200.0,Sunday,NH,H,HHW,2013,November
Mount Road ATM,2013-11-17,114.0,27.0,260600.0,78900.0,Sunday,NH,H,HHW,2013,November
Airport ATM,2013-11-18,110.0,92.0,592300.0,493800.0,Monday,NH,W,HWW,2013,November
Big Street ATM,2013-11-18,93.0,38.0,313800.0,200500.0,Monday,NH,W,HWW,2013,November
Christ College ATM,2013-11-18,142.0,50.0,406300.0,142700.0,Monday,NH,W,HWW,2013,November
KK Nagar ATM,2013-11-18,205.0,152.0,901700.0,703900.0,Monday,NH,W,HWW,2013,November
Mount Road ATM,2013-11-18,194.0,92.0,712000.0,433200.0,Monday,NH,W,HWW,2013,November
Airport ATM,2013-11-19,112.0,87.0,526200.0,442700.0,Tuesday,NH,W,WWW,2013,November
Big Street ATM,2013-11-19,97.0,45.0,329400.0,201900.0,Tuesday,NH,W,WWW,2013,November
Big Street ATM,2013-11-19,199.0,143.0,821663.0,612605.0,Tuesday,NA,NA,NA,2013,November
Christ College ATM,2013-11-19,119.0,52.0,464600.0,171900.0,Tuesday,NH,W,WWW,2013,November
Mount Road ATM,2013-11-19,180.0,107.0,775300.0,620800.0,Tuesday,NH,W,WWW,2013,November
Airport ATM,2013-11-20,106.0,80.0,564400.0,424200.0,Wednesday,NH,W,WWW,2013,November
Big Street ATM,2013-11-20,91.0,19.0,267600.0,47800.0,Wednesday,NH,W,WWW,2013,November
Christ College ATM,2013-11-20,163.0,53.0,652800.0,251000.0,Wednesday,NH,W,WWW,2013,November
KK Nagar ATM,2013-11-20,217.0,161.0,955300.0,774900.0,Wednesday,NH,W,WWW,2013,November
Mount Road ATM,2013-11-20,140.0,78.0,492400.0,304800.0,Wednesday,NH,W,WWW,2013,November
Airport ATM,2013-11-21,127.0,95.0,719000.0,605300.0,Thursday,NH,W,WWW,2013,November
Big Street ATM,2013-11-21,116.0,36.0,379700.0,190900.0,Thursday,NH,W,WWW,2013,November
Christ College ATM,2013-11-21,183.0,45.0,562400.0,139500.0,Thursday,NH,W,WWW,2013,November
KK Nagar ATM,2013-11-21,238.0,163.0,914600.0,629400.0,Thursday,NH,W,WWW,2013,November
Mount Road ATM,2013-11-21,179.0,76.0,621700.0,402000.0,Thursday,NH,W,WWW,2013,November
Airport ATM,2013-11-22,109.0,77.0,489300.0,388800.0,Friday,NH,W,WWH,2013,November
Big Street ATM,2013-11-22,117.0,31.0,358100.0,178600.0,Friday,NH,W,WWH,2013,November
Christ College ATM,2013-11-22,139.0,46.0,473300.0,154600.0,Friday,NH,W,WWH,2013,November
KK Nagar ATM,2013-11-22,219.0,163.0,832700.0,677300.0,Friday,NH,W,WWH,2013,November
Mount Road ATM,2013-11-22,152.0,76.0,652700.0,428300.0,Friday,NH,W,WWH,2013,November
Airport ATM,2013-11-23,130.0,99.0,584000.0,489900.0,Saturday,NH,H,WHH,2013,November
Big Street ATM,2013-11-23,118.0,49.0,408600.0,236200.0,Saturday,NH,H,WHH,2013,November
Christ College ATM,2013-11-23,176.0,65.0,728600.0,380200.0,Saturday,NH,H,WHH,2013,November
KK Nagar ATM,2013-11-23,214.0,165.0,915000.0,737300.0,Saturday,NH,H,WHH,2013,November
Mount Road ATM,2013-11-23,145.0,63.0,460500.0,276000.0,Saturday,NH,H,WHH,2013,November
Airport ATM,2013-11-24,70.0,44.0,252300.0,183300.0,Sunday,NH,H,HHW,2013,November
Big Street ATM,2013-11-24,71.0,25.0,191100.0,96500.0,Sunday,NH,H,HHW,2013,November
Christ College ATM,2013-11-24,124.0,31.0,416000.0,94300.0,Sunday,NH,H,HHW,2013,November
KK Nagar ATM,2013-11-24,70.0,44.0,239700.0,176900.0,Sunday,NH,H,HHW,2013,November
Mount Road ATM,2013-11-24,84.0,23.0,165100.0,42800.0,Sunday,NH,H,HHW,2013,November
Airport ATM,2013-11-25,111.0,82.0,499900.0,412500.0,Monday,NH,W,HWW,2013,November
Big Street ATM,2013-11-25,119.0,42.0,411300.0,230000.0,Monday,NH,W,HWW,2013,November
Big Street ATM,2013-11-25,146.0,52.0,595658.0,262765.0,Monday,NA,NA,NA,2013,November
KK Nagar ATM,2013-11-25,206.0,167.0,780600.0,662900.0,Monday,NH,W,HWW,2013,November
Mount Road ATM,2013-11-25,144.0,81.0,444300.0,349500.0,Monday,NH,W,HWW,2013,November
Airport ATM,2013-11-26,113.0,82.0,391500.0,338800.0,Tuesday,NH,W,WWW,2013,November
Big Street ATM,2013-11-26,131.0,58.0,431100.0,274300.0,Tuesday,NH,W,WWW,2013,November
Christ College ATM,2013-11-26,161.0,44.0,547200.0,162400.0,Tuesday,NH,W,WWW,2013,November
KK Nagar ATM,2013-11-26,199.0,160.0,722200.0,581600.0,Tuesday,NH,W,WWW,2013,November
Mount Road ATM,2013-11-26,137.0,77.0,512600.0,429000.0,Tuesday,NH,W,WWW,2013,November
Airport ATM,2013-11-27,67.0,49.0,334300.0,264800.0,Wednesday,NH,W,WWW,2013,November
Big Street ATM,2013-11-27,79.0,26.0,219700.0,97100.0,Wednesday,NH,W,WWW,2013,November
Christ College ATM,2013-11-27,169.0,64.0,651300.0,363000.0,Wednesday,NH,W,WWW,2013,November
KK Nagar ATM,2013-11-27,214.0,163.0,974900.0,809100.0,Wednesday,NH,W,WWW,2013,November
Mount Road ATM,2013-11-27,138.0,81.0,510600.0,396600.0,Wednesday,NH,W,WWW,2013,November
Airport ATM,2013-11-28,105.0,80.0,518600.0,460400.0,Thursday,NH,W,WWW,2013,November
Big Street ATM,2013-11-28,114.0,44.0,450400.0,226500.0,Thursday,NH,W,WWW,2013,November
Christ College ATM,2013-11-28,164.0,64.0,769600.0,448500.0,Thursday,NH,W,WWW,2013,November
KK Nagar ATM,2013-11-28,237.0,178.0,1013700.0,760600.0,Thursday,NH,W,WWW,2013,November
Mount Road ATM,2013-11-28,142.0,64.0,433800.0,238800.0,Thursday,NH,W,WWW,2013,November
Airport ATM,2013-11-29,112.0,76.0,565800.0,366600.0,Friday,NH,W,WWH,2013,November
Big Street ATM,2013-11-29,124.0,38.0,430600.0,175000.0,Friday,NH,W,WWH,2013,November
Christ College ATM,2013-11-29,173.0,51.0,638900.0,247400.0,Friday,NH,W,WWH,2013,November
KK Nagar ATM,2013-11-29,289.0,219.0,1118300.0,881800.0,Friday,NH,W,WWH,2013,November
Mount Road ATM,2013-11-29,162.0,84.0,850600.0,574500.0,Friday,NH,W,WWH,2013,November
Airport ATM,2013-11-30,51.0,41.0,326300.0,280500.0,Saturday,NH,H,WHH,2013,November
Big Street ATM,2013-11-30,85.0,35.0,290800.0,113700.0,Saturday,NH,H,WHH,2013,November
Big Street ATM,2013-11-30,199.0,143.0,821663.0,612605.0,Saturday,NA,NA,NA,2013,November
Christ College ATM,2013-11-30,171.0,77.0,787400.0,387800.0,Saturday,NH,H,WHH,2013,November
Mount Road ATM,2013-11-30,200.0,100.0,756400.0,445500.0,Saturday,NH,H,WHH,2013,November
Airport ATM,2013-12-01,140.0,113.0,696600.0,597300.0,Sunday,NH,H,HHH,2013,December
Big Street ATM,2013-12-01,111.0,35.0,329300.0,153100.0,Sunday,NH,H,HHH,2013,December
Christ College ATM,2013-12-01,84.0,38.0,333000.0,169700.0,Sunday,NH,H,HHH,2013,December
KK Nagar ATM,2013-12-01,284.0,190.0,1088400.0,783300.0,Sunday,NH,H,HHH,2013,December
Mount Road ATM,2013-12-01,215.0,89.0,564000.0,268200.0,Sunday,NH,H,HHH,2013,December
Airport ATM,2013-12-02,111.0,89.0,526200.0,486100.0,Monday,NH,W,WWW,2013,December
Big Street ATM,2013-12-02,127.0,51.0,459000.0,237600.0,Monday,NH,W,WWW,2013,December
Christ College ATM,2013-12-02,131.0,50.0,552000.0,319200.0,Monday,NH,W,WWW,2013,December
KK Nagar ATM,2013-12-02,231.0,177.0,1093500.0,857500.0,Monday,NH,W,WWW,2013,December
Mount Road ATM,2013-12-02,201.0,95.0,665300.0,413800.0,Monday,NH,W,WWW,2013,December
Airport ATM,2013-12-03,130.0,98.0,671100.0,573400.0,Tuesday,NH,W,WWW,2013,December
Big Street ATM,2013-12-03,94.0,41.0,426200.0,293900.0,Tuesday,NH,W,WWW,2013,December
Big Street ATM,2013-12-03,205.0,155.0,843450.0,660479.0,Tuesday,NA,NA,NA,2013,December
Christ College ATM,2013-12-03,113.0,59.0,455700.0,264200.0,Tuesday,NH,W,WWW,2013,December
Mount Road ATM,2013-12-03,163.0,76.0,625300.0,371300.0,Tuesday,NH,W,WWW,2013,December
Airport ATM,2013-12-04,88.0,47.0,370000.0,207400.0,Wednesday,NH,W,HWH,2013,December
Big Street ATM,2013-12-04,105.0,22.0,319500.0,86300.0,Wednesday,NH,W,HWH,2013,December
Big Street ATM,2013-12-04,205.0,155.0,843450.0,660479.0,Wednesday,NA,NA,NA,2013,December
Christ College ATM,2013-12-04,125.0,54.0,484900.0,283900.0,Wednesday,NH,W,HWH,2013,December
Mount Road ATM,2013-12-04,206.0,83.0,527100.0,242600.0,Wednesday,NH,W,HWH,2013,December
Airport ATM,2013-12-05,113.0,83.0,447100.0,366600.0,Thursday,NH,H,HHW,2013,December
Big Street ATM,2013-12-05,121.0,37.0,329000.0,161900.0,Thursday,NH,H,HHW,2013,December
Christ College ATM,2013-12-05,139.0,34.0,544100.0,136700.0,Thursday,NH,H,HHW,2013,December
KK Nagar ATM,2013-12-05,193.0,90.0,686900.0,300800.0,Thursday,NH,H,HHW,2013,December
Mount Road ATM,2013-12-05,209.0,35.0,512100.0,127800.0,Thursday,NH,H,HHW,2013,December
Airport ATM,2013-12-06,116.0,80.0,557900.0,452600.0,Friday,NH,W,WWW,2013,December
Big Street ATM,2013-12-06,110.0,29.0,341500.0,109200.0,Friday,NH,W,WWW,2013,December
Christ College ATM,2013-12-06,111.0,49.0,528100.0,247400.0,Friday,NH,W,WWW,2013,December
KK Nagar ATM,2013-12-06,246.0,167.0,975200.0,720900.0,Friday,NH,W,WWW,2013,December
Mount Road ATM,2013-12-06,128.0,59.0,482400.0,256400.0,Friday,NH,W,WWW,2013,December
Airport ATM,2013-12-07,108.0,80.0,413700.0,340000.0,Saturday,NH,W,WWH,2013,December
Big Street ATM,2013-12-07,94.0,43.0,280600.0,170700.0,Saturday,NH,W,WWH,2013,December
Big Street ATM,2013-12-07,205.0,155.0,843450.0,660479.0,Saturday,NA,NA,NA,2013,December
Christ College ATM,2013-12-07,128.0,51.0,547800.0,277500.0,Saturday,NH,W,WWH,2013,December
Mount Road ATM,2013-12-07,153.0,74.0,689500.0,407100.0,Saturday,NH,W,WWH,2013,December
Airport ATM,2013-12-08,143.0,108.0,766100.0,602600.0,Sunday,NH,W,HWW,2013,December
Big Street ATM,2013-12-08,97.0,38.0,338000.0,137300.0,Sunday,NH,W,HWW,2013,December
Big Street ATM,2013-12-08,205.0,155.0,843450.0,660479.0,Sunday,NA,NA,NA,2013,December
Christ College ATM,2013-12-08,158.0,60.0,808200.0,419100.0,Sunday,NH,W,HWW,2013,December
Mount Road ATM,2013-12-08,159.0,82.0,524500.0,289200.0,Sunday,NH,W,HWW,2013,December
Airport ATM,2013-12-09,144.0,111.0,747100.0,649500.0,Monday,NH,W,WWW,2013,December
Big Street ATM,2013-12-09,123.0,47.0,415600.0,196200.0,Monday,NH,W,WWW,2013,December
Big Street ATM,2013-12-09,205.0,155.0,843450.0,660479.0,Monday,NA,NA,NA,2013,December
Christ College ATM,2013-12-09,116.0,45.0,562800.0,268400.0,Monday,NH,W,WWW,2013,December
Mount Road ATM,2013-12-09,186.0,100.0,594500.0,374700.0,Monday,NH,W,WWW,2013,December
Airport ATM,2013-12-10,158.0,107.0,725400.0,553200.0,Tuesday,NH,H,WHH,2013,December
Big Street ATM,2013-12-10,136.0,35.0,451700.0,140500.0,Tuesday,NH,H,WHH,2013,December
Christ College ATM,2013-12-10,120.0,54.0,489200.0,253200.0,Tuesday,NH,H,WHH,2013,December
KK Nagar ATM,2013-12-10,224.0,166.0,1105400.0,844200.0,Tuesday,NH,H,WHH,2013,December
Mount Road ATM,2013-12-10,199.0,89.0,709900.0,389600.0,Tuesday,NH,H,WHH,2013,December
Airport ATM,2013-12-11,114.0,77.0,558700.0,424300.0,Wednesday,NH,W,WWW,2013,December
Big Street ATM,2013-12-11,100.0,28.0,343200.0,72000.0,Wednesday,NH,W,WWW,2013,December
Big Street ATM,2013-12-11,205.0,155.0,843450.0,660479.0,Wednesday,NA,NA,NA,2013,December
Christ College ATM,2013-12-11,145.0,55.0,666700.0,334500.0,Wednesday,NH,W,WWW,2013,December
Mount Road ATM,2013-12-11,176.0,89.0,887400.0,626200.0,Wednesday,NH,W,WWW,2013,December
Airport ATM,2013-12-12,68.0,42.0,352200.0,256100.0,Thursday,NH,W,WWW,2013,December
Big Street ATM,2013-12-12,107.0,40.0,352400.0,153100.0,Thursday,NH,W,WWW,2013,December
Christ College ATM,2013-12-12,137.0,57.0,510500.0,338900.0,Thursday,NH,W,WWW,2013,December
KK Nagar ATM,2013-12-12,152.0,114.0,697700.0,553900.0,Thursday,NH,W,WWW,2013,December
Mount Road ATM,2013-12-12,125.0,71.0,452100.0,303500.0,Thursday,NH,W,WWW,2013,December
Big Street ATM,2013-12-13,101.0,75.0,477537.0,392563.0,Friday,NA,NA,NA,2013,December
Big Street ATM,2013-12-13,100.0,36.0,341590.0,160481.0,Friday,NA,NA,NA,2013,December
Big Street ATM,2013-12-13,107.0,50.0,459886.0,267495.0,Friday,NA,NA,NA,2013,December
Big Street ATM,2013-12-13,205.0,155.0,843450.0,660479.0,Friday,NA,NA,NA,2013,December
Big Street ATM,2013-12-13,153.0,75.0,534719.0,326481.0,Friday,NA,NA,NA,2013,December
Big Street ATM,2013-12-14,101.0,75.0,477537.0,392563.0,Saturday,NA,NA,NA,2013,December
Big Street ATM,2013-12-14,100.0,36.0,341590.0,160481.0,Saturday,NA,NA,NA,2013,December
Big Street ATM,2013-12-14,107.0,50.0,459886.0,267495.0,Saturday,NA,NA,NA,2013,December
Big Street ATM,2013-12-14,205.0,155.0,843450.0,660479.0,Saturday,NA,NA,NA,2013,December
Big Street ATM,2013-12-14,153.0,75.0,534719.0,326481.0,Saturday,NA,NA,NA,2013,December
Big Street ATM,2013-12-15,101.0,75.0,477537.0,392563.0,Sunday,NA,NA,NA,2013,December
Big Street ATM,2013-12-15,100.0,36.0,341590.0,160481.0,Sunday,NA,NA,NA,2013,December
Big Street ATM,2013-12-15,107.0,50.0,459886.0,267495.0,Sunday,NA,NA,NA,2013,December
Big Street ATM,2013-12-15,205.0,155.0,843450.0,660479.0,Sunday,NA,NA,NA,2013,December
Big Street ATM,2013-12-15,153.0,75.0,534719.0,326481.0,Sunday,NA,NA,NA,2013,December
Big Street ATM,2013-12-16,101.0,75.0,477537.0,392563.0,Monday,NA,NA,NA,2013,December
Big Street ATM,2013-12-16,100.0,36.0,341590.0,160481.0,Monday,NA,NA,NA,2013,December
Big Street ATM,2013-12-16,107.0,50.0,459886.0,267495.0,Monday,NA,NA,NA,2013,December
Big Street ATM,2013-12-16,205.0,155.0,843450.0,660479.0,Monday,NA,NA,NA,2013,December
Big Street ATM,2013-12-16,153.0,75.0,534719.0,326481.0,Monday,NA,NA,NA,2013,December
Big Street ATM,2013-12-17,101.0,75.0,477537.0,392563.0,Tuesday,NA,NA,NA,2013,December
Big Street ATM,2013-12-17,100.0,36.0,341590.0,160481.0,Tuesday,NA,NA,NA,2013,December
Big Street ATM,2013-12-17,107.0,50.0,459886.0,267495.0,Tuesday,NA,NA,NA,2013,December
Big Street ATM,2013-12-17,205.0,155.0,843450.0,660479.0,Tuesday,NA,NA,NA,2013,December
Big Street ATM,2013-12-17,153.0,75.0,534719.0,326481.0,Tuesday,NA,NA,NA,2013,December
Big Street ATM,2013-12-18,101.0,75.0,477537.0,392563.0,Wednesday,NA,NA,NA,2013,December
Big Street ATM,2013-12-18,100.0,36.0,341590.0,160481.0,Wednesday,NA,NA,NA,2013,December
Big Street ATM,2013-12-18,107.0,50.0,459886.0,267495.0,Wednesday,NA,NA,NA,2013,December
Big Street ATM,2013-12-18,205.0,155.0,843450.0,660479.0,Wednesday,NA,NA,NA,2013,December
Big Street ATM,2013-12-18,153.0,75.0,534719.0,326481.0,Wednesday,NA,NA,NA,2013,December
Big Street ATM,2013-12-19,101.0,75.0,477537.0,392563.0,Thursday,NA,NA,NA,2013,December
Big Street ATM,2013-12-19,100.0,36.0,341590.0,160481.0,Thursday,NA,NA,NA,2013,December
Big Street ATM,2013-12-19,107.0,50.0,459886.0,267495.0,Thursday,NA,NA,NA,2013,December
Big Street ATM,2013-12-19,205.0,155.0,843450.0,660479.0,Thursday,NA,NA,NA,2013,December
Big Street ATM,2013-12-19,153.0,75.0,534719.0,326481.0,Thursday,NA,NA,NA,2013,December
Big Street ATM,2013-12-20,101.0,75.0,477537.0,392563.0,Friday,NA,NA,NA,2013,December
Big Street ATM,2013-12-20,100.0,36.0,341590.0,160481.0,Friday,NA,NA,NA,2013,December
Big Street ATM,2013-12-20,107.0,50.0,459886.0,267495.0,Friday,NA,NA,NA,2013,December
Big Street ATM,2013-12-20,205.0,155.0,843450.0,660479.0,Friday,NA,NA,NA,2013,December
Big Street ATM,2013-12-20,153.0,75.0,534719.0,326481.0,Friday,NA,NA,NA,2013,December
Big Street ATM,2013-12-21,101.0,75.0,477537.0,392563.0,Saturday,NA,NA,NA,2013,December
Big Street ATM,2013-12-21,100.0,36.0,341590.0,160481.0,Saturday,NA,NA,NA,2013,December
Big Street ATM,2013-12-21,107.0,50.0,459886.0,267495.0,Saturday,NA,NA,NA,2013,December
Big Street ATM,2013-12-21,205.0,155.0,843450.0,660479.0,Saturday,NA,NA,NA,2013,December
Big Street ATM,2013-12-21,153.0,75.0,534719.0,326481.0,Saturday,NA,NA,NA,2013,December
Big Street ATM,2013-12-22,101.0,75.0,477537.0,392563.0,Sunday,NA,NA,NA,2013,December
Big Street ATM,2013-12-22,100.0,36.0,341590.0,160481.0,Sunday,NA,NA,NA,2013,December
Big Street ATM,2013-12-22,107.0,50.0,459886.0,267495.0,Sunday,NA,NA,NA,2013,December
Big Street ATM,2013-12-22,205.0,155.0,843450.0,660479.0,Sunday,NA,NA,NA,2013,December
Big Street ATM,2013-12-22,153.0,75.0,534719.0,326481.0,Sunday,NA,NA,NA,2013,December
Airport ATM,2013-12-23,64.0,60.0,325000.0,299500.0,Monday,NH,W,HWW,2013,December
Big Street ATM,2013-12-23,17.0,13.0,92500.0,69600.0,Monday,NH,W,HWW,2013,December
Christ College ATM,2013-12-23,22.0,14.0,104000.0,81800.0,Monday,NH,W,HWW,2013,December
KK Nagar ATM,2013-12-23,118.0,109.0,468300.0,444300.0,Monday,NH,W,HWW,2013,December
Mount Road ATM,2013-12-23,25.0,13.0,175600.0,109500.0,Monday,NH,W,HWW,2013,December
Airport ATM,2013-12-24,38.0,33.0,106100.0,103600.0,Tuesday,NH,W,WWH,2013,December
Big Street ATM,2013-12-24,44.0,27.0,147300.0,98400.0,Tuesday,NH,W,WWH,2013,December
Christ College ATM,2013-12-24,110.0,94.0,522200.0,458900.0,Tuesday,NH,W,WWH,2013,December
KK Nagar ATM,2013-12-24,226.0,221.0,775300.0,760400.0,Tuesday,NH,W,WWH,2013,December
Mount Road ATM,2013-12-24,60.0,60.0,245200.0,245200.0,Tuesday,NH,W,WWH,2013,December
Airport ATM,2013-12-25,19.0,10.0,21200.0,11500.0,Wednesday,C,H,WHW,2013,December
Big Street ATM,2013-12-25,129.0,45.0,330400.0,130700.0,Wednesday,C,H,WHW,2013,December
Christ College ATM,2013-12-25,76.0,38.0,233100.0,184400.0,Wednesday,C,H,WHW,2013,December
KK Nagar ATM,2013-12-25,177.0,147.0,745500.0,645300.0,Wednesday,C,H,WHW,2013,December
Mount Road ATM,2013-12-25,87.0,29.0,254500.0,76100.0,Wednesday,C,H,WHW,2013,December
Big Street ATM,2013-12-26,101.0,75.0,477537.0,392563.0,Thursday,NA,NA,NA,2013,December
Big Street ATM,2013-12-26,77.0,33.0,340800.0,148800.0,Thursday,NH,W,HWW,2013,December
Christ College ATM,2013-12-26,92.0,52.0,520800.0,363300.0,Thursday,NH,W,HWW,2013,December
KK Nagar ATM,2013-12-26,220.0,185.0,956200.0,840200.0,Thursday,NH,W,HWW,2013,December
Mount Road ATM,2013-12-26,167.0,100.0,659100.0,481900.0,Thursday,NH,W,HWW,2013,December
Big Street ATM,2013-12-27,101.0,75.0,477537.0,392563.0,Friday,NA,NA,NA,2013,December
Big Street ATM,2013-12-27,73.0,41.0,273000.0,213300.0,Friday,NH,W,WWH,2013,December
Christ College ATM,2013-12-27,46.0,22.0,82400.0,48200.0,Friday,NH,W,WWH,2013,December
KK Nagar ATM,2013-12-27,165.0,146.0,579000.0,506200.0,Friday,NH,W,WWH,2013,December
Mount Road ATM,2013-12-27,125.0,87.0,550300.0,463700.0,Friday,NH,W,WWH,2013,December
Airport ATM,2013-12-28,43.0,32.0,156300.0,134500.0,Saturday,NH,H,WHH,2013,December
Big Street ATM,2013-12-28,100.0,33.0,353900.0,133200.0,Saturday,NH,H,WHH,2013,December
Christ College ATM,2013-12-28,116.0,54.0,525600.0,330200.0,Saturday,NH,H,WHH,2013,December
KK Nagar ATM,2013-12-28,280.0,195.0,1132600.0,840100.0,Saturday,NH,H,WHH,2013,December
Mount Road ATM,2013-12-28,168.0,79.0,469000.0,269500.0,Saturday,NH,H,WHH,2013,December
Airport ATM,2013-12-29,103.0,70.0,445400.0,341600.0,Sunday,NH,H,HHW,2013,December
Big Street ATM,2013-12-29,101.0,28.0,312900.0,150600.0,Sunday,NH,H,HHW,2013,December
Christ College ATM,2013-12-29,65.0,41.0,233300.0,175600.0,Sunday,NH,H,HHW,2013,December
KK Nagar ATM,2013-12-29,123.0,75.0,438600.0,264500.0,Sunday,NH,H,HHW,2013,December
Mount Road ATM,2013-12-29,89.0,35.0,184100.0,77600.0,Sunday,NH,H,HHW,2013,December
Airport ATM,2013-12-30,101.0,85.0,465200.0,435900.0,Monday,NH,W,HWW,2013,December
Big Street ATM,2013-12-30,98.0,39.0,328700.0,188600.0,Monday,NH,W,HWW,2013,December
Christ College ATM,2013-12-30,111.0,65.0,576800.0,391900.0,Monday,NH,W,HWW,2013,December
KK Nagar ATM,2013-12-30,227.0,182.0,1065700.0,885100.0,Monday,NH,W,HWW,2013,December
Mount Road ATM,2013-12-30,145.0,92.0,534800.0,395600.0,Monday,NH,W,HWW,2013,December
Airport ATM,2013-12-31,119.0,96.0,721900.0,623000.0,Tuesday,NH,W,WWH,2013,December
Big Street ATM,2013-12-31,144.0,48.0,607900.0,325100.0,Tuesday,NH,W,WWH,2013,December
Big Street ATM,2013-12-31,205.0,155.0,843450.0,660479.0,Tuesday,NA,NA,NA,2013,December
Christ College ATM,2013-12-31,110.0,59.0,376400.0,270400.0,Tuesday,NH,W,WWH,2013,December
Mount Road ATM,2013-12-31,221.0,130.0,922400.0,666600.0,Tuesday,NH,W,WWH,2013,December
Airport ATM,2014-01-01,68.0,55.0,349500.0,320800.0,Wednesday,C,H,WHW,2014,January
Big Street ATM,2014-01-01,101.0,44.0,360800.0,173400.0,Wednesday,C,H,WHW,2014,January
Christ College ATM,2014-01-01,85.0,35.0,318400.0,164100.0,Wednesday,C,H,WHW,2014,January
KK Nagar ATM,2014-01-01,235.0,170.0,1083400.0,808000.0,Wednesday,C,H,WHW,2014,January
Mount Road ATM,2014-01-01,90.0,31.0,268800.0,113400.0,Wednesday,C,H,WHW,2014,January
Airport ATM,2014-01-02,133.0,112.0,654500.0,598600.0,Thursday,NH,H,WHH,2014,January
Big Street ATM,2014-01-02,93.0,46.0,384700.0,264200.0,Thursday,NH,H,WHH,2014,January
Big Street ATM,2014-01-02,129.0,47.0,513737.0,239342.0,Thursday,NA,NA,NA,2014,January
Big Street ATM,2014-01-02,189.0,131.0,814075.0,597312.0,Thursday,NA,NA,NA,2014,January
Mount Road ATM,2014-01-02,154.0,99.0,651400.0,415800.0,Thursday,NH,H,WHH,2014,January
Airport ATM,2014-01-03,101.0,74.0,341600.0,284300.0,Friday,NH,H,WHH,2014,January
